team1,team2,year,score1,score2,winner,over_or_under,amount,confidence_level
Commanders,Chiefs,2012,4,22,Chiefs,under,24,0.46
Commanders,Lions,2012,0,0,Lions,under,50,0.68
Commanders,Ravens,2012,2,3,Ravens,under,45,0.66
Texans,Packers,2012,9,6,Texans,under,35,0.67
Lions,Ravens,2012,1,19,Ravens,under,30,0.58
Chiefs,Ravens,2012,9,10,Ravens,under,31,0.73
Chiefs,Lions,2012,16,23,Lions,under,11,0.54
Bills,Ravens,2012,8,0,Bills,under,42,0.69
Bills,Lions,2012,7,12,Lions,under,31,0.54
Bills,Chiefs,2012,6,26,Chiefs,under,18,0.69
Eagles,Ravens,2012,6,3,Eagles,under,41,0.65
Eagles,Lions,2012,2,20,Lions,under,28,0.69
Eagles,Chiefs,2012,11,13,Chiefs,under,26,0.65
Eagles,Bills,2012,17,3,Eagles,under,30,0.43
Vikings,Ravens,2012,15,9,Vikings,under,26,0.6
Vikings,Lions,2012,3,4,Lions,under,43,0.67
Vikings,Chiefs,2012,7,5,Vikings,under,38,0.52
Vikings,Bills,2012,8,5,Vikings,under,37,0.54
Vikings,Eagles,2012,5,11,Eagles,under,34,0.68
Steelers,Ravens,2012,2,13,Ravens,under,35,0.55
Steelers,Lions,2012,1,12,Lions,under,37,0.41
Steelers,Chiefs,2012,8,19,Chiefs,under,23,0.53
Steelers,Bills,2012,0,15,Bills,under,35,0.46
Steelers,Eagles,2012,0,15,Eagles,under,35,0.47
Steelers,Vikings,2012,2,14,Vikings,under,34,0.54
Packers,Ravens,2012,8,14,Ravens,under,28,0.59
Packers,Lions,2012,3,0,Packers,under,47,0.52
Packers,Chiefs,2012,6,3,Packers,under,41,0.61
Packers,Bills,2012,0,3,Bills,under,47,0.63
Packers,Eagles,2012,4,6,Eagles,under,40,0.62
Packers,Vikings,2012,1,6,Vikings,under,43,0.51
Packers,Steelers,2012,6,0,Packers,under,44,0.57
Texans,Ravens,2012,0,22,Ravens,under,28,0.38
Texans,Lions,2012,5,25,Lions,under,20,0.37
Texans,Chiefs,2012,2,16,Chiefs,under,32,0.54
Texans,Bills,2012,7,1,Texans,under,42,0.65
Texans,Eagles,2012,2,2,Eagles,under,46,0.75
Texans,Vikings,2012,0,15,Vikings,under,35,0.39
Texans,Steelers,2012,4,0,Texans,under,46,0.55
Texans,Packers,2012,0,5,Packers,under,45,0.75
Commanders,Ravens,2012,0,4,Ravens,under,46,0.57
Commanders,Lions,2012,1,17,Lions,under,32,0.37
Commanders,Chiefs,2012,3,1,Commanders,under,46,0.74
Commanders,Bills,2012,2,9,Bills,under,39,0.73
Commanders,Eagles,2012,0,13,Eagles,under,37,0.57
Commanders,Vikings,2012,2,6,Vikings,under,42,0.63
Commanders,Steelers,2012,3,2,Commanders,under,45,0.71
Commanders,Packers,2012,4,7,Packers,under,39,0.79
Commanders,Texans,2012,0,0,Texans,under,50,0.7
Commanders,Texans,2012,0,1,Texans,under,49,0.6
Commanders,Packers,2012,0,3,Packers,under,47,0.68
Commanders,Steelers,2012,2,10,Steelers,under,38,0.63
Commanders,Vikings,2012,0,13,Vikings,under,37,0.55
Commanders,Eagles,2012,1,14,Eagles,under,35,0.43
Commanders,Bills,2012,2,2,Bills,under,46,0.77
Commanders,Chiefs,2012,1,22,Chiefs,under,27,0.38
Commanders,Lions,2012,0,22,Lions,under,28,0.47
Commanders,Ravens,2012,6,27,Ravens,under,17,0.38
Texans,Packers,2012,1,3,Packers,under,46,0.54
Texans,Steelers,2012,2,0,Texans,under,48,0.54
Texans,Vikings,2012,4,6,Vikings,under,40,0.52
Texans,Eagles,2012,5,12,Eagles,under,33,0.67
Texans,Vikings,2013,4,1,Texans,under,45,0.53
Commanders,Texans,2013,0,2,Texans,under,48,0.71
Commanders,Packers,2013,0,3,Packers,under,47,0.62
Commanders,Steelers,2013,0,6,Steelers,under,44,0.5
Commanders,Vikings,2013,1,5,Vikings,under,44,0.53
Commanders,Eagles,2013,4,5,Eagles,under,41,0.63
Commanders,Bills,2013,4,6,Bills,under,40,0.66
Commanders,Chiefs,2013,0,8,Chiefs,under,42,0.71
Commanders,Lions,2013,6,14,Lions,under,30,0.6
Commanders,Ravens,2013,0,13,Ravens,under,37,0.55
Texans,Packers,2013,3,7,Packers,under,40,0.77
Texans,Steelers,2013,3,0,Texans,under,47,0.77
Texans,Vikings,2013,0,12,Vikings,under,38,0.45
Texans,Eagles,2013,3,13,Eagles,under,34,0.64
Texans,Bills,2013,2,1,Texans,under,47,0.68
Texans,Chiefs,2013,0,10,Chiefs,under,40,0.36
Texans,Lions,2013,1,1,Lions,under,48,0.63
Texans,Ravens,2013,2,0,Texans,under,48,0.71
Packers,Steelers,2013,0,2,Steelers,under,48,0.79
Packers,Vikings,2013,6,1,Packers,under,43,0.52
Packers,Eagles,2013,3,18,Eagles,under,29,0.3
Packers,Bills,2013,2,5,Bills,under,43,0.68
Packers,Chiefs,2013,3,12,Chiefs,under,35,0.62
Packers,Lions,2013,3,24,Lions,under,23,0.58
Packers,Ravens,2013,8,32,Ravens,under,10,0.47
Steelers,Vikings,2013,10,9,Steelers,under,31,0.66
Steelers,Eagles,2013,5,13,Eagles,under,32,0.76
Steelers,Bills,2013,7,6,Steelers,under,37,0.65
Steelers,Chiefs,2013,11,16,Chiefs,under,23,0.52
Steelers,Lions,2013,10,19,Lions,under,21,0.78
Steelers,Ravens,2013,1,14,Ravens,under,35,0.49
Vikings,Eagles,2013,2,8,Eagles,under,40,0.59
Vikings,Bills,2013,8,13,Bills,under,29,0.76
Vikings,Chiefs,2013,8,1,Vikings,under,41,0.69
Vikings,Lions,2013,17,2,Vikings,under,31,0.58
Vikings,Ravens,2013,18,32,Ravens,under,0,0.32
Eagles,Bills,2013,8,9,Bills,under,33,0.5
Eagles,Chiefs,2013,7,26,Chiefs,under,17,0.49
Eagles,Lions,2013,5,23,Lions,under,22,0.59
Eagles,Ravens,2013,12,30,Ravens,under,8,0.69
Bills,Chiefs,2013,15,21,Chiefs,under,14,0.55
Bills,Lions,2013,13,22,Lions,under,15,0.73
Bills,Ravens,2013,7,8,Ravens,under,35,0.51
Chiefs,Lions,2013,19,26,Lions,under,5,0.68
Chiefs,Ravens,2013,3,12,Ravens,under,35,0.67
Lions,Ravens,2013,29,23,Lions,over,2,0.63
Commanders,Texans,2013,0,3,Texans,under,47,0.74
Commanders,Packers,2013,0,5,Packers,under,45,0.57
Commanders,Steelers,2013,2,9,Steelers,under,39,0.7
Commanders,Vikings,2013,0,5,Vikings,under,45,0.53
Commanders,Eagles,2013,0,4,Eagles,under,46,0.62
Commanders,Bills,2013,5,16,Bills,under,29,0.53
Commanders,Chiefs,2013,0,10,Chiefs,under,40,0.61
Commanders,Lions,2013,0,15,Lions,under,35,0.51
Commanders,Ravens,2013,3,5,Ravens,under,42,0.71
Texans,Packers,2013,3,4,Packers,under,43,0.57
Texans,Steelers,2013,2,5,Steelers,under,43,0.73
Texans,Vikings,2013,0,3,Vikings,under,47,0.56
Texans,Eagles,2013,5,6,Eagles,under,39,0.55
Texans,Bills,2013,1,15,Bills,under,34,0.51
Texans,Chiefs,2013,0,19,Chiefs,under,31,0.52
Texans,Lions,2013,4,10,Lions,under,36,0.53
Texans,Ravens,2013,4,7,Ravens,under,39,0.69
Packers,Steelers,2013,2,9,Steelers,under,39,0.55
Packers,Vikings,2013,3,7,Vikings,under,40,0.57
Packers,Eagles,2013,1,0,Packers,under,49,0.73
Packers,Bills,2013,1,11,Bills,under,38,0.55
Packers,Chiefs,2013,5,0,Packers,under,45,0.66
Packers,Lions,2013,5,5,Lions,under,40,0.73
Packers,Ravens,2013,6,1,Packers,under,43,0.73
Steelers,Vikings,2013,2,13,Vikings,under,35,0.56
Commanders,Texans,2013,0,5,Texans,under,45,0.74
Commanders,Packers,2013,0,0,Packers,under,50,0.71
Commanders,Steelers,2013,0,3,Steelers,under,47,0.78
Commanders,Vikings,2013,0,14,Vikings,under,36,0.58
Commanders,Eagles,2013,0,16,Eagles,under,34,0.43
Commanders,Bills,2013,0,5,Bills,under,45,0.75
Commanders,Chiefs,2013,0,15,Chiefs,under,35,0.44
Commanders,Lions,2013,2,24,Lions,under,24,0.33
Commanders,Ravens,2013,0,7,Ravens,under,43,0.68
Texans,Packers,2013,2,3,Packers,under,45,0.74
Texans,Steelers,2013,1,4,Steelers,under,45,0.74
Texans,Eagles,2013,7,22,Eagles,under,21,0.45
Texans,Bills,2013,1,4,Bills,under,45,0.74
Texans,Chiefs,2013,4,20,Chiefs,under,26,0.46
Texans,Lions,2013,0,9,Lions,under,41,0.65
Texans,Ravens,2013,3,20,Ravens,under,27,0.55
Packers,Steelers,2013,0,0,Steelers,under,50,0.56
Packers,Vikings,2013,3,1,Packers,under,46,0.52
Packers,Eagles,2013,1,13,Eagles,under,36,0.38
Packers,Bills,2013,12,19,Bills,under,19,0.79
Packers,Chiefs,2013,4,24,Chiefs,under,22,0.37
Packers,Lions,2013,0,22,Lions,under,28,0.64
Packers,Ravens,2013,0,9,Ravens,under,41,0.64
Steelers,Vikings,2013,14,10,Steelers,under,26,0.56
Steelers,Eagles,2013,0,1,Eagles,under,49,0.51
Steelers,Bills,2013,0,3,Bills,under,47,0.64
Steelers,Chiefs,2013,8,21,Chiefs,under,21,0.5
Steelers,Lions,2013,2,15,Lions,under,33,0.67
Steelers,Ravens,2013,4,22,Ravens,under,24,0.62
Vikings,Eagles,2013,15,16,Eagles,under,19,0.71
Vikings,Bills,2013,4,8,Bills,under,38,0.72
Vikings,Chiefs,2013,7,10,Chiefs,under,33,0.62
Vikings,Lions,2013,7,12,Lions,under,31,0.61
Vikings,Ravens,2013,3,6,Ravens,under,41,0.6
Eagles,Bills,2013,7,12,Bills,under,31,0.68
Eagles,Chiefs,2013,13,21,Chiefs,under,16,0.55
Eagles,Lions,2013,2,7,Lions,under,41,0.71
Eagles,Ravens,2013,20,14,Eagles,under,16,0.58
Bills,Chiefs,2013,2,10,Chiefs,under,38,0.67
Bills,Lions,2013,25,11,Bills,under,14,0.58
Bills,Ravens,2013,12,28,Ravens,under,10,0.59
Chiefs,Lions,2013,17,32,Lions,under,1,0.64
Chiefs,Ravens,2013,6,0,Chiefs,under,44,0.79
Lions,Ravens,2013,12,12,Ravens,under,26,0.54
Commanders,Texans,2013,0,9,Texans,under,41,0.53
Commanders,Packers,2013,5,1,Commanders,under,44,0.61
Commanders,Steelers,2013,2,9,Steelers,under,39,0.7
Commanders,Vikings,2013,0,5,Vikings,under,45,0.75
Commanders,Eagles,2013,4,5,Eagles,under,41,0.68
Commanders,Bills,2013,1,9,Bills,under,40,0.61
Commanders,Chiefs,2013,0,17,Chiefs,under,33,0.7
Commanders,Lions,2013,5,23,Lions,under,22,0.69
Commanders,Ravens,2013,0,3,Ravens,under,47,0.55
Texans,Packers,2013,2,3,Packers,under,45,0.78
Texans,Steelers,2013,5,12,Steelers,under,33,0.79
Texans,Vikings,2013,0,10,Vikings,under,40,0.37
Texans,Eagles,2013,0,7,Eagles,under,43,0.68
Texans,Bills,2013,3,11,Bills,under,36,0.71
Texans,Chiefs,2013,1,12,Chiefs,under,37,0.54
Texans,Lions,2013,0,22,Lions,under,28,0.41
Texans,Ravens,2013,4,19,Ravens,under,27,0.32
Packers,Steelers,2013,8,6,Packers,under,36,0.7
Packers,Vikings,2013,7,8,Vikings,under,35,0.78
Packers,Eagles,2013,10,13,Eagles,under,27,0.64
Packers,Bills,2013,5,4,Packers,under,41,0.58
Packers,Chiefs,2013,0,16,Chiefs,under,34,0.68
Packers,Lions,2013,3,13,Lions,under,34,0.49
Packers,Ravens,2013,0,15,Ravens,under,35,0.42
Steelers,Vikings,2013,4,0,Steelers,under,46,0.65
Steelers,Eagles,2013,13,3,Steelers,under,34,0.62
Steelers,Bills,2013,3,19,Bills,under,28,0.41
Steelers,Chiefs,2013,3,4,Chiefs,under,43,0.69
Steelers,Lions,2013,3,10,Lions,under,37,0.72
Steelers,Ravens,2013,13,22,Ravens,under,15,0.67
Vikings,Eagles,2013,1,10,Eagles,under,39,0.71
Vikings,Bills,2013,12,15,Bills,under,23,0.71
Vikings,Chiefs,2013,14,12,Vikings,under,24,0.65
Vikings,Lions,2013,3,19,Lions,under,28,0.45
Vikings,Ravens,2013,4,18,Ravens,under,28,0.57
Eagles,Bills,2013,2,13,Bills,under,35,0.63
Eagles,Chiefs,2013,0,5,Chiefs,under,45,0.66
Eagles,Lions,2013,13,14,Lions,under,23,0.53
Eagles,Ravens,2013,4,7,Ravens,under,39,0.61
Bills,Chiefs,2013,7,1,Bills,under,42,0.71
Bills,Lions,2013,16,23,Lions,under,11,0.55
Bills,Ravens,2013,3,22,Ravens,under,25,0.33
Chiefs,Lions,2013,22,3,Chiefs,under,25,0.57
Chiefs,Ravens,2013,16,23,Ravens,under,11,0.51
Lions,Ravens,2013,21,29,Ravens,under,0,0.57
Steelers,Eagles,2013,15,11,Steelers,under,24,0.72
Steelers,Bills,2013,8,15,Bills,under,27,0.68
Steelers,Chiefs,2013,4,16,Chiefs,under,30,0.54
Steelers,Lions,2013,7,21,Lions,under,22,0.46
Steelers,Ravens,2013,5,1,Steelers,under,44,0.51
Vikings,Eagles,2013,9,7,Vikings,under,34,0.6
Vikings,Bills,2013,17,10,Vikings,under,23,0.73
Vikings,Chiefs,2013,14,8,Vikings,under,28,0.6
Vikings,Lions,2013,0,0,Lions,under,50,0.52
Vikings,Ravens,2013,0,15,Ravens,under,35,0.65
Eagles,Bills,2013,3,14,Bills,under,33,0.47
Eagles,Chiefs,2013,10,18,Chiefs,under,22,0.66
Eagles,Lions,2013,3,20,Lions,under,27,0.45
Eagles,Ravens,2013,15,17,Ravens,under,18,0.62
Bills,Chiefs,2013,14,23,Chiefs,under,13,0.68
Bills,Lions,2013,5,1,Bills,under,44,0.57
Bills,Ravens,2013,9,3,Bills,under,38,0.61
Chiefs,Lions,2013,7,20,Lions,under,23,0.44
Chiefs,Ravens,2013,18,11,Chiefs,under,21,0.68
Lions,Ravens,2013,3,9,Ravens,under,38,0.79
Bills,Ravens,2014,7,28,Ravens,under,15,0.5
Bills,Lions,2014,25,18,Bills,under,7,0.57
Bills,Chiefs,2014,17,14,Bills,under,19,0.7
Eagles,Ravens,2014,2,10,Ravens,under,38,0.51
Eagles,Lions,2014,12,22,Lions,under,16,0.49
Eagles,Chiefs,2014,15,1,Eagles,under,34,0.6
Eagles,Bills,2014,7,19,Bills,under,24,0.63
Vikings,Ravens,2014,8,4,Vikings,under,38,0.78
Vikings,Lions,2014,5,26,Lions,under,19,0.65
Vikings,Chiefs,2014,3,1,Vikings,under,46,0.75
Vikings,Bills,2014,6,18,Bills,under,26,0.48
Vikings,Eagles,2014,10,9,Vikings,under,31,0.66
Steelers,Ravens,2014,0,13,Ravens,under,37,0.49
Steelers,Lions,2014,9,0,Steelers,under,41,0.79
Steelers,Chiefs,2014,3,7,Chiefs,under,40,0.51
Steelers,Bills,2014,3,2,Steelers,under,45,0.61
Steelers,Eagles,2014,7,11,Eagles,under,32,0.72
Steelers,Vikings,2014,2,14,Vikings,under,34,0.57
Packers,Ravens,2014,8,14,Ravens,under,28,0.73
Packers,Lions,2014,8,1,Packers,under,41,0.56
Packers,Chiefs,2014,3,10,Chiefs,under,37,0.51
Packers,Bills,2014,0,4,Bills,under,46,0.8
Packers,Eagles,2014,6,19,Eagles,under,25,0.58
Packers,Vikings,2014,2,6,Vikings,under,42,0.61
Commanders,Texans,2014,4,1,Commanders,under,45,0.6
Commanders,Packers,2014,7,2,Commanders,under,41,0.69
Commanders,Steelers,2014,0,0,Steelers,under,50,0.62
Packers,Steelers,2014,7,9,Steelers,under,34,0.75
Texans,Ravens,2014,6,30,Ravens,under,14,0.64
Texans,Lions,2014,7,0,Texans,under,43,0.78
Texans,Chiefs,2014,1,7,Chiefs,under,42,0.56
Texans,Bills,2014,2,19,Bills,under,29,0.4
Texans,Eagles,2014,1,9,Eagles,under,40,0.51
Texans,Vikings,2014,6,6,Vikings,under,38,0.7
Texans,Steelers,2014,0,2,Steelers,under,48,0.55
Texans,Packers,2014,0,2,Packers,under,48,0.65
Commanders,Ravens,2014,2,23,Ravens,under,25,0.47
Commanders,Lions,2014,3,3,Lions,under,44,0.62
Commanders,Chiefs,2014,4,8,Chiefs,under,38,0.78
Commanders,Bills,2014,3,18,Bills,under,29,0.59
Commanders,Eagles,2014,5,3,Commanders,under,42,0.63
Commanders,Vikings,2014,5,1,Commanders,under,44,0.57
Commanders,Steelers,2014,0,5,Steelers,under,45,0.71
Commanders,Packers,2014,0,1,Packers,under,49,0.68
Commanders,Texans,2014,0,7,Texans,under,43,0.78
Chiefs,Ravens,2014,18,16,Chiefs,under,16,0.75
Lions,Ravens,2014,9,6,Lions,under,35,0.71
Lions,Ravens,2014,14,27,Ravens,under,9,0.61
Chiefs,Ravens,2014,19,5,Chiefs,under,26,0.32
Chiefs,Lions,2014,18,12,Chiefs,under,20,0.79
Bills,Ravens,2014,15,28,Ravens,under,7,0.43
Bills,Lions,2014,19,6,Bills,under,25,0.49
Bills,Chiefs,2014,10,11,Chiefs,under,29,0.66
Eagles,Ravens,2014,11,28,Ravens,under,11,0.35
Eagles,Lions,2014,7,29,Lions,under,14,0.34
Eagles,Chiefs,2014,2,7,Chiefs,under,41,0.73
Eagles,Bills,2014,12,22,Bills,under,16,0.41
Vikings,Ravens,2014,4,15,Ravens,under,31,0.59
Vikings,Lions,2014,1,20,Lions,under,29,0.44
Vikings,Chiefs,2014,6,7,Chiefs,under,37,0.64
Vikings,Bills,2014,5,15,Bills,under,30,0.43
Vikings,Eagles,2014,15,7,Vikings,under,28,0.69
Steelers,Ravens,2014,3,21,Ravens,under,26,0.64
Steelers,Lions,2014,2,21,Lions,under,27,0.62
Steelers,Chiefs,2014,11,10,Steelers,under,29,0.54
Steelers,Bills,2014,2,12,Bills,under,36,0.65
Steelers,Eagles,2014,8,3,Steelers,under,39,0.67
Steelers,Vikings,2014,11,5,Steelers,under,34,0.52
Packers,Ravens,2014,1,6,Ravens,under,43,0.71
Packers,Lions,2014,4,13,Lions,under,33,0.56
Packers,Chiefs,2014,1,11,Chiefs,under,38,0.68
Packers,Bills,2014,0,20,Bills,under,30,0.37
Packers,Eagles,2014,9,12,Eagles,under,29,0.55
Packers,Vikings,2014,4,13,Vikings,under,33,0.53
Packers,Steelers,2014,4,7,Steelers,under,39,0.68
Texans,Ravens,2014,3,24,Ravens,under,23,0.55
Texans,Lions,2014,6,5,Texans,under,39,0.73
Texans,Chiefs,2014,1,15,Chiefs,under,34,0.44
Texans,Bills,2014,3,6,Bills,under,41,0.64
Texans,Eagles,2014,1,14,Eagles,under,35,0.49
Texans,Vikings,2014,0,15,Vikings,under,35,0.67
Texans,Steelers,2014,1,5,Steelers,under,44,0.69
Texans,Packers,2014,0,1,Packers,under,49,0.56
Commanders,Ravens,2014,3,18,Ravens,under,29,0.63
Commanders,Lions,2014,3,3,Lions,under,44,0.54
Commanders,Chiefs,2014,1,11,Chiefs,under,38,0.45
Commanders,Bills,2014,6,14,Bills,under,30,0.7
Commanders,Eagles,2014,1,0,Commanders,under,49,0.7
Commanders,Vikings,2014,4,0,Commanders,under,46,0.61
Commanders,Texans,2014,0,0,Texans,under,50,0.59
Commanders,Packers,2014,0,0,Packers,under,50,0.62
Commanders,Steelers,2014,4,2,Commanders,under,44,0.65
Commanders,Vikings,2014,0,12,Vikings,under,38,0.44
Commanders,Eagles,2014,1,6,Eagles,under,43,0.64
Commanders,Bills,2014,1,11,Bills,under,38,0.62
Commanders,Chiefs,2014,0,17,Chiefs,under,33,0.62
Commanders,Lions,2014,0,11,Lions,under,39,0.42
Commanders,Ravens,2014,3,4,Ravens,under,43,0.74
Texans,Packers,2014,0,5,Packers,under,45,0.76
Texans,Steelers,2014,6,10,Steelers,under,34,0.51
Texans,Vikings,2014,0,3,Vikings,under,47,0.72
Texans,Eagles,2014,8,6,Texans,under,36,0.77
Texans,Bills,2014,1,0,Texans,under,49,0.77
Texans,Chiefs,2014,1,10,Chiefs,under,39,0.61
Texans,Lions,2014,1,25,Lions,under,24,0.64
Texans,Ravens,2014,0,9,Ravens,under,41,0.62
Packers,Steelers,2014,4,8,Steelers,under,38,0.53
Packers,Vikings,2014,1,9,Vikings,under,40,0.51
Packers,Eagles,2014,6,0,Packers,under,44,0.53
Packers,Bills,2014,6,0,Packers,under,44,0.67
Packers,Chiefs,2014,1,5,Chiefs,under,44,0.66
Packers,Lions,2014,3,0,Packers,under,47,0.73
Packers,Ravens,2014,0,16,Ravens,under,34,0.52
Steelers,Vikings,2014,3,9,Vikings,under,38,0.8
Steelers,Eagles,2014,3,5,Eagles,under,42,0.68
Steelers,Bills,2014,7,13,Bills,under,30,0.71
Steelers,Chiefs,2014,13,4,Steelers,under,33,0.74
Steelers,Lions,2014,3,13,Lions,under,34,0.43
Steelers,Ravens,2014,3,2,Steelers,under,45,0.78
Vikings,Eagles,2014,0,13,Eagles,under,37,0.52
Vikings,Bills,2014,10,2,Vikings,under,38,0.79
Vikings,Chiefs,2014,14,1,Vikings,under,35,0.57
Vikings,Lions,2014,5,17,Lions,under,28,0.38
Vikings,Ravens,2014,9,25,Ravens,under,16,0.69
Eagles,Bills,2014,10,13,Bills,under,27,0.65
Eagles,Chiefs,2014,12,9,Eagles,under,29,0.7
Eagles,Lions,2014,14,8,Eagles,under,28,0.52
Eagles,Ravens,2014,16,20,Ravens,under,14,0.52
Bills,Chiefs,2014,5,15,Chiefs,under,30,0.35
Bills,Lions,2014,7,12,Lions,under,31,0.55
Bills,Ravens,2014,4,0,Bills,under,46,0.68
Chiefs,Lions,2014,21,5,Chiefs,under,24,0.49
Chiefs,Ravens,2014,20,14,Chiefs,under,16,0.71
Lions,Ravens,2014,3,18,Ravens,under,29,0.55
Commanders,Texans,2014,0,0,Texans,under,50,0.62
Commanders,Packers,2014,1,5,Packers,under,44,0.63
Commanders,Steelers,2014,5,7,Steelers,under,38,0.66
Commanders,Vikings,2014,0,7,Vikings,under,43,0.64
Commanders,Eagles,2014,0,15,Eagles,under,35,0.42
Commanders,Bills,2014,3,12,Bills,under,35,0.59
Commanders,Chiefs,2014,1,11,Chiefs,under,38,0.5
Commanders,Lions,2014,0,11,Lions,under,39,0.63
Commanders,Ravens,2014,0,21,Ravens,under,29,0.46
Texans,Packers,2014,0,2,Packers,under,48,0.78
Texans,Steelers,2014,3,2,Texans,under,45,0.54
Texans,Vikings,2014,5,18,Vikings,under,27,0.64
Texans,Eagles,2014,2,10,Eagles,under,38,0.65
Texans,Bills,2014,0,9,Bills,under,41,0.61
Texans,Chiefs,2014,5,14,Chiefs,under,31,0.7
Texans,Lions,2014,2,8,Lions,under,40,0.52
Texans,Ravens,2014,0,5,Ravens,under,45,0.62
Packers,Steelers,2014,10,5,Packers,under,35,0.55
Packers,Vikings,2014,0,10,Vikings,under,40,0.34
Packers,Eagles,2014,3,11,Eagles,under,36,0.5
Packers,Bills,2014,2,12,Bills,under,36,0.57
Packers,Chiefs,2014,0,14,Chiefs,under,36,0.6
Packers,Lions,2014,2,17,Lions,under,31,0.64
Packers,Ravens,2014,2,16,Ravens,under,32,0.5
Steelers,Vikings,2014,8,9,Vikings,under,33,0.67
Steelers,Eagles,2014,2,11,Eagles,under,37,0.61
Steelers,Bills,2014,9,18,Bills,under,23,0.54
Steelers,Chiefs,2014,10,0,Steelers,under,40,0.52
Steelers,Lions,2014,7,24,Lions,under,19,0.44
Steelers,Ravens,2014,4,1,Steelers,under,45,0.76
Vikings,Eagles,2014,14,14,Eagles,under,22,0.69
Vikings,Bills,2014,13,7,Vikings,under,30,0.72
Vikings,Chiefs,2014,18,10,Vikings,under,22,0.71
Vikings,Lions,2014,11,12,Lions,under,27,0.65
Vikings,Ravens,2014,5,0,Vikings,under,45,0.53
Eagles,Bills,2014,12,12,Bills,under,26,0.77
Eagles,Chiefs,2014,22,12,Eagles,under,16,0.31
Eagles,Lions,2014,7,26,Lions,under,17,0.36
Eagles,Ravens,2014,16,3,Eagles,under,31,0.64
Bills,Chiefs,2014,14,13,Bills,under,23,0.57
Bills,Lions,2014,12,3,Bills,under,35,0.72
Bills,Ravens,2014,4,9,Ravens,under,37,0.62
Chiefs,Lions,2014,11,30,Lions,under,9,0.51
Chiefs,Ravens,2014,19,11,Chiefs,under,20,0.75
Lions,Ravens,2014,4,21,Ravens,under,25,0.46
Chiefs,Lions,2014,14,13,Chiefs,under,23,0.67
Chiefs,Ravens,2015,19,1,Chiefs,under,30,0.35
Commanders,Texans,2015,1,0,Commanders,under,49,0.69
Commanders,Texans,2015,0,8,Texans,under,42,0.79
Commanders,Packers,2015,3,0,Commanders,under,47,0.69
Commanders,Steelers,2015,4,2,Commanders,under,44,0.68
Commanders,Vikings,2015,0,12,Vikings,under,38,0.39
Commanders,Eagles,2015,0,7,Eagles,under,43,0.79
Commanders,Bills,2015,0,8,Bills,under,42,0.56
Commanders,Chiefs,2015,2,3,Chiefs,under,45,0.62
Commanders,Lions,2015,0,24,Lions,under,26,0.48
Commanders,Ravens,2015,2,27,Ravens,under,21,0.6
Texans,Packers,2015,1,3,Packers,under,46,0.65
Texans,Steelers,2015,2,1,Texans,under,47,0.72
Texans,Vikings,2015,1,16,Vikings,under,33,0.66
Texans,Eagles,2015,4,17,Eagles,under,29,0.61
Texans,Bills,2015,1,9,Bills,under,40,0.63
Texans,Chiefs,2015,0,18,Chiefs,under,32,0.34
Texans,Lions,2015,9,11,Lions,under,30,0.57
Texans,Ravens,2015,6,11,Ravens,under,33,0.75
Packers,Steelers,2015,8,11,Steelers,under,31,0.6
Packers,Vikings,2015,4,3,Packers,under,43,0.59
Packers,Eagles,2015,0,0,Eagles,under,50,0.53
Packers,Bills,2015,1,3,Bills,under,46,0.69
Packers,Chiefs,2015,0,15,Chiefs,under,35,0.47
Packers,Lions,2015,4,7,Lions,under,39,0.56
Packers,Ravens,2015,5,5,Ravens,under,40,0.66
Steelers,Vikings,2015,14,1,Steelers,under,35,0.55
Commanders,Texans,2015,5,0,Commanders,under,45,0.54
Commanders,Packers,2015,0,0,Packers,under,50,0.61
Commanders,Steelers,2015,0,11,Steelers,under,39,0.43
Commanders,Vikings,2015,0,8,Vikings,under,42,0.61
Commanders,Eagles,2015,0,2,Eagles,under,48,0.68
Commanders,Bills,2015,1,15,Bills,under,34,0.44
Commanders,Chiefs,2015,1,1,Chiefs,under,48,0.59
Commanders,Lions,2015,0,13,Lions,under,37,0.66
Commanders,Ravens,2015,0,15,Ravens,under,35,0.41
Texans,Packers,2015,1,5,Packers,under,44,0.77
Texans,Steelers,2015,1,2,Steelers,under,47,0.53
Texans,Vikings,2015,5,0,Texans,under,45,0.51
Texans,Eagles,2015,4,4,Eagles,under,42,0.69
Texans,Bills,2015,0,0,Bills,under,50,0.71
Texans,Chiefs,2015,1,6,Chiefs,under,43,0.77
Texans,Lions,2015,1,20,Lions,under,29,0.6
Texans,Ravens,2015,3,0,Texans,under,47,0.57
Packers,Steelers,2015,3,6,Steelers,under,41,0.64
Packers,Vikings,2015,7,7,Vikings,under,36,0.63
Packers,Eagles,2015,4,6,Eagles,under,40,0.63
Packers,Bills,2015,3,14,Bills,under,33,0.69
Packers,Chiefs,2015,3,23,Chiefs,under,24,0.47
Packers,Lions,2015,11,25,Lions,under,14,0.38
Packers,Ravens,2015,0,21,Ravens,under,29,0.53
Steelers,Vikings,2015,6,18,Vikings,under,26,0.66
Steelers,Eagles,2015,15,13,Steelers,under,22,0.78
Steelers,Bills,2015,16,7,Steelers,under,27,0.62
Steelers,Chiefs,2015,4,5,Chiefs,under,41,0.8
Steelers,Lions,2015,3,27,Lions,under,20,0.62
Steelers,Ravens,2015,7,14,Ravens,under,29,0.63
